Type;Operation;Path
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\SecureTimeEstimated:  B5 58 DF A7 95 58 D8 01
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\SecureTimeHigh:  70 60 10 50 3C 59 D8 01
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\SecureTimeHigh:  60 BF A8 26 3D 59 D8 01
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\SecureTimeLow:  70 76 59 4E 30 58 D8 01
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\SecureTimeLow:  60 D5 F1 24 31 58 D8 01
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\RunTime\SecureTimeTickCount:  A5 15 0B 00 00 00 00 00
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\RunTime\SecureTimeTickCount:  04 94 10 00 00 00 00 00
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Windows\System32\dllhost.exe:  30 2C 67 BF 81 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Windows\System32\dllhost.exe:  DE 46 16 97 82 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Users\Cuckoo\Desktop\Tools\Procmon64.exe:  F9 37 87 7F 81 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Users\Cuckoo\Desktop\Tools\Procmon64.exe:  EE 60 DE 8C 82 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeEstimated:  C5 F9 46 D1 94 58 D8 01
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeEstimated:  B5 58 DF A7 95 58 D8 01
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeHigh:  70 60 10 50 3C 59 D8 01
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeHigh:  60 BF A8 26 3D 59 D8 01
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeLow:  70 76 59 4E 30 58 D8 01
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\SecureTimeLow:  60 D5 F1 24 31 58 D8 01
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime\SecureTimeTickCount:  A5 15 0B 00 00 00 00 00
Value;Modified;HKLM\SYSTEM\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime\SecureTimeTickCount:  04 94 10 00 00 00 00 00
Value;Modified;HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Usage\CPUpct: "0.061691"
Value;Modified;HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Usage\CPUpct: "0.019549"
Value;Modified;HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Usage\MemoryUsageKB:  D8 18 00 00 00 00 00 00
Value;Modified;HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Usage\MemoryUsageKB:  38 18 00 00 00 00 00 00
Value;Modified;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\OneDrive\Accounts\LastUpdate:  33 61 66 62 00 00 00 00
Value;Modified;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\OneDrive\Accounts\LastUpdate:  8F 62 66 62 00 00 00 00
Value;Modified;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FeatureUsage\AppSwitched\C:\Users\Cuckoo\Desktop\Tools\Regshot-x64-ANSI.exe: 0x00000003
Value;Modified;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FeatureUsage\AppSwitched\C:\Users\Cuckoo\Desktop\Tools\Regshot-x64-ANSI.exe: 0x00000005
