"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:44:40,1852249","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1853749","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1854064","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1854206","sodinokibi.exe","8376","RegOpenKey","HKCR\SystemFileAssociations\.exe\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1854552","sodinokibi.exe","8376","RegQueryKey","HKCR\.exe","SUCCESS","Query: Name"
"14:44:40,1854673","sodinokibi.exe","8376","RegQueryKey","HKCR\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1854865","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1854994","sodinokibi.exe","8376","RegQueryValue","HKCR\.exe\Content Type","SUCCESS","Type: REG_SZ, Length: 50, Data: application/x-msdownload"
"14:44:40,1855182","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1855297","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1855473","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1855637","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1855725","sodinokibi.exe","8376","RegOpenKey","HKCR\exefile\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1855967","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1856269","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1856450","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1856608","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
